Start Date,End Date,Group,Year,Month,State,Age Group,COVID-19 Deaths,Total Deaths,Population
1/1/20,4/24/21,By Total,0.0,0.0,Idaho,25-34 years,0.0,387.0,236490.0
1/1/20,4/24/21,By Total,0.0,0.0,Idaho,35-44 years,20.0,578.0,227172.0
1/1/20,4/24/21,By Total,0.0,0.0,Idaho,45-54 years,64.0,964.0,201766.0
1/1/20,4/24/21,By Total,0.0,0.0,Idaho,55-64 years,171.0,2487.0,218360.0
1/1/20,4/24/21,By Total,0.0,0.0,Idaho,65-74 years,435.0,4259.0,175866.0
1/1/20,4/24/21,By Total,0.0,0.0,Idaho,75-84 years,631.0,5635.0,85030.0
1/1/20,4/24/21,By Total,0.0,0.0,Idaho,85 years and over,699.0,6442.0,29774.0
1/1/20,4/24/21,By Total,0.0,0.0,Illinois,Under 5 years,0.0,145.0,746934.0
1/1/20,4/24/21,By Total,0.0,0.0,Illinois,5-14 years,0.0,248.0,1575745.0
1/1/20,4/24/21,By Total,0.0,0.0,Illinois,15-24 years,33.0,1670.0,1652607.0
1/1/20,4/24/21,By Total,0.0,0.0,Illinois,25-34 years,148.0,3250.0,1758096.0
1/1/20,4/24/21,By Total,0.0,0.0,Illinois,35-44 years,360.0,4634.0,1637135.0
1/1/20,4/24/21,By Total,0.0,0.0,Illinois,45-54 years,977.0,8898.0,1599789.0
1/1/20,4/24/21,By Total,0.0,0.0,Illinois,55-64 years,2302.0,21019.0,1658283.0
1/1/20,4/24/21,By Total,0.0,0.0,Illinois,65-74 years,4441.0,32358.0,1176033.0
1/1/20,4/24/21,By Total,0.0,0.0,Illinois,75-84 years,5591.0,39317.0,600230.0
1/1/20,4/24/21,By Total,0.0,0.0,Illinois,85 years and over,7092.0,52131.0,266969.0
1/1/20,4/24/21,By Total,0.0,0.0,Indiana,Under 5 years,0.0,97.0,418340.0
1/1/20,4/24/21,By Total,0.0,0.0,Indiana,5-14 years,0.0,167.0,878981.0
1/1/20,4/24/21,By Total,0.0,0.0,Indiana,15-24 years,10.0,1071.0,930398.0
1/1/20,4/24/21,By Total,0.0,0.0,Indiana,25-34 years,36.0,2117.0,890687.0
1/1/20,4/24/21,By Total,0.0,0.0,Indiana,35-44 years,128.0,2806.0,828959.0
1/1/20,4/24/21,By Total,0.0,0.0,Indiana,45-54 years,361.0,5303.0,824029.0
1/1/20,4/24/21,By Total,0.0,0.0,Indiana,55-64 years,1235.0,12882.0,875082.0
1/1/20,4/24/21,By Total,0.0,0.0,Indiana,65-74 years,2565.0,20134.0,636737.0
1/1/20,4/24/21,By Total,0.0,0.0,Indiana,75-84 years,3759.0,24414.0,317937.0
1/1/20,4/24/21,By Total,0.0,0.0,Indiana,85 years and over,4507.0,28543.0,131069.0
1/1/20,4/24/21,By Total,0.0,0.0,Iowa,Under 5 years,0.0,41.0,195636.0
1/1/20,4/24/21,By Total,0.0,0.0,Iowa,5-14 years,0.0,67.0,408495.0
1/1/20,4/24/21,By Total,0.0,0.0,Iowa,15-24 years,0.0,342.0,436415.0
1/1/20,4/24/21,By Total,0.0,0.0,Iowa,25-34 years,21.0,611.0,398150.0
1/1/20,4/24/21,By Total,0.0,0.0,Iowa,35-44 years,49.0,942.0,385215.0
1/1/20,4/24/21,By Total,0.0,0.0,Iowa,45-54 years,161.0,1959.0,362509.0
1/1/20,4/24/21,By Total,0.0,0.0,Iowa,55-64 years,495.0,4948.0,415696.0
1/1/20,4/24/21,By Total,0.0,0.0,Iowa,65-74 years,1008.0,8380.0,311447.0
1/1/20,4/24/21,By Total,0.0,0.0,Iowa,75-84 years,1676.0,11053.0,162833.0
1/1/20,4/24/21,By Total,0.0,0.0,Iowa,85 years and over,2522.0,16228.0,78674.0
1/1/20,4/24/21,By Total,0.0,0.0,Kansas,Under 5 years,0.0,29.0,185331.0
1/1/20,4/24/21,By Total,0.0,0.0,Kansas,5-14 years,0.0,67.0,396266.0
1/1/20,4/24/21,By Total,0.0,0.0,Kansas,15-24 years,10.0,458.0,412813.0
1/1/20,4/24/21,By Total,0.0,0.0,Kansas,25-34 years,23.0,737.0,382922.0
1/1/20,4/24/21,By Total,0.0,0.0,Kansas,35-44 years,59.0,1113.0,361029.0
1/1/20,4/24/21,By Total,0.0,0.0,Kansas,45-54 years,179.0,1956.0,327961.0
1/1/20,4/24/21,By Total,0.0,0.0,Kansas,55-64 years,466.0,4962.0,371505.0
1/1/20,4/24/21,By Total,0.0,0.0,Kansas,65-74 years,928.0,7872.0,272236.0
1/1/20,4/24/21,By Total,0.0,0.0,Kansas,75-84 years,1374.0,9666.0,137573.0
1/1/20,4/24/21,By Total,0.0,0.0,Kansas,85 years and over,1791.0,13130.0,65678.0
1/1/20,4/24/21,By Total,0.0,0.0,Kentucky,Under 5 years,0.0,48.0,272610.0
1/1/20,4/24/21,By Total,0.0,0.0,Kentucky,5-14 years,0.0,107.0,560417.0
1/1/20,4/24/21,By Total,0.0,0.0,Kentucky,15-24 years,0.0,771.0,583798.0
1/1/20,4/24/21,By Total,0.0,0.0,Kentucky,25-34 years,18.0,1594.0,587380.0
1/1/20,4/24/21,By Total,0.0,0.0,Kentucky,35-44 years,73.0,2697.0,550953.0
1/1/20,4/24/21,By Total,0.0,0.0,Kentucky,45-54 years,232.0,4727.0,563662.0
1/1/20,4/24/21,By Total,0.0,0.0,Kentucky,55-64 years,776.0,10668.0,598289.0
1/1/20,4/24/21,By Total,0.0,0.0,Kentucky,65-74 years,1648.0,15584.0,447876.0
1/1/20,4/24/21,By Total,0.0,0.0,Kentucky,75-84 years,2106.0,17476.0,220820.0
1/1/20,4/24/21,By Total,0.0,0.0,Kentucky,85 years and over,2215.0,17079.0,81868.0
1/1/20,4/24/21,By Total,0.0,0.0,Louisiana,Under 5 years,0.0,89.0,301469.0
1/1/20,4/24/21,By Total,0.0,0.0,Louisiana,5-14 years,0.0,146.0,607936.0
1/1/20,4/24/21,By Total,0.0,0.0,Louisiana,15-24 years,18.0,926.0,597268.0
1/1/20,4/24/21,By Total,0.0,0.0,Louisiana,25-34 years,66.0,1884.0,658227.0
1/1/20,4/24/21,By Total,0.0,0.0,Louisiana,35-44 years,175.0,2739.0,589854.0
1/1/20,4/24/21,By Total,0.0,0.0,Louisiana,45-54 years,481.0,4571.0,548348.0
1/1/20,4/24/21,By Total,0.0,0.0,Louisiana,55-64 years,1313.0,10798.0,604670.0
1/1/20,4/24/21,By Total,0.0,0.0,Louisiana,65-74 years,2356.0,15813.0,442534.0
1/1/20,4/24/21,By Total,0.0,0.0,Louisiana,75-84 years,2699.0,17244.0,216431.0
1/1/20,4/24/21,By Total,0.0,0.0,Louisiana,85 years and over,2166.0,17139.0,82057.0
1/1/20,4/24/21,By Total,0.0,0.0,Maine,Under 5 years,0.0,12.0,63537.0
1/1/20,4/24/21,By Total,0.0,0.0,Maine,5-14 years,0.0,17.0,140100.0
1/1/20,4/24/21,By Total,0.0,0.0,Maine,15-24 years,0.0,128.0,152137.0
1/1/20,4/24/21,By Total,0.0,0.0,Maine,25-34 years,0.0,349.0,162808.0
1/1/20,4/24/21,By Total,0.0,0.0,Maine,35-44 years,0.0,538.0,154075.0
1/1/20,4/24/21,By Total,0.0,0.0,Maine,45-54 years,20.0,981.0,174730.0
1/1/20,4/24/21,By Total,0.0,0.0,Maine,55-64 years,59.0,2445.0,211560.0
1/1/20,4/24/21,By Total,0.0,0.0,Maine,65-74 years,137.0,3987.0,169079.0
1/1/20,4/24/21,By Total,0.0,0.0,Maine,75-84 years,284.0,5192.0,82386.0
1/1/20,4/24/21,By Total,0.0,0.0,Maine,85 years and over,361.0,6663.0,33800.0
1/1/20,4/24/21,By Total,0.0,0.0,Maryland,Under 5 years,0.0,49.0,361937.0
1/1/20,4/24/21,By Total,0.0,0.0,Maryland,5-14 years,0.0,91.0,747869.0
1/1/20,4/24/21,By Total,0.0,0.0,Maryland,15-24 years,22.0,816.0,751030.0
1/1/20,4/24/21,By Total,0.0,0.0,Maryland,25-34 years,64.0,1964.0,829249.0
1/1/20,4/24/21,By Total,0.0,0.0,Maryland,35-44 years,169.0,2646.0,782213.0
1/1/20,4/24/21,By Total,0.0,0.0,Maryland,45-54 years,484.0,4487.0,795467.0
1/1/20,4/24/21,By Total,0.0,0.0,Maryland,55-64 years,1171.0,10324.0,818519.0
1/1/20,4/24/21,By Total,0.0,0.0,Maryland,65-74 years,2011.0,15145.0,561582.0
1/1/20,4/24/21,By Total,0.0,0.0,Maryland,75-84 years,2661.0,18366.0,278421.0
1/1/20,4/24/21,By Total,0.0,0.0,Maryland,85 years and over,3104.0,23545.0,119393.0
1/1/20,4/24/21,By Total,0.0,0.0,Massachusetts,Under 5 years,0.0,39.0,357362.0
1/1/20,4/24/21,By Total,0.0,0.0,Massachusetts,5-14 years,0.0,76.0,751035.0
1/1/20,4/24/21,By Total,0.0,0.0,Massachusetts,15-24 years,0.0,546.0,935124.0
1/1/20,4/24/21,By Total,0.0,0.0,Massachusetts,25-34 years,36.0,1580.0,994454.0
1/1/20,4/24/21,By Total,0.0,0.0,Massachusetts,35-44 years,93.0,2337.0,848373.0
1/1/20,4/24/21,By Total,0.0,0.0,Massachusetts,45-54 years,296.0,4096.0,893633.0
1/1/20,4/24/21,By Total,0.0,0.0,Massachusetts,55-64 years,1014.0,9653.0,943190.0
1/1/20,4/24/21,By Total,0.0,0.0,Massachusetts,65-74 years,2186.0,15835.0,673305.0
1/1/20,4/24/21,By Total,0.0,0.0,Massachusetts,75-84 years,3584.0,21357.0,336504.0
1/1/20,4/24/21,By Total,0.0,0.0,Massachusetts,85 years and over,5908.0,33004.0,159523.0
