Start Date,End Date,Group,Year,Month,State,Age Group,COVID-19 Deaths,Total Deaths
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,1-4 years,0.0,25.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,5-14 years,0.0,40.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,15-24 years,0.0,315.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,18-29 years,11.0,614.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,25-34 years,24.0,820.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,30-39 years,38.0,1051.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,35-44 years,59.0,1187.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,40-49 years,122.0,1466.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,45-54 years,221.0,2232.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,50-64 years,842.0,6583.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,55-64 years,705.0,5207.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,65-74 years,1370.0,7724.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,75-84 years,2102.0,10989.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,85 years and over,3441.0,17801.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,Under 1 year,0.0,74.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,0-17 years,0.0,132.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,1-4 years,0.0,14.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,5-14 years,0.0,20.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,15-24 years,0.0,140.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,18-29 years,0.0,224.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,25-34 years,0.0,283.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,30-39 years,12.0,363.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,35-44 years,0.0,391.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,40-49 years,23.0,463.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,45-54 years,60.0,678.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,50-64 years,195.0,2095.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,55-64 years,155.0,1677.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,65-74 years,275.0,2813.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,75-84 years,429.0,3529.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,85 years and over,508.0,4211.0
1/1/20,4/24/21,By Total,0.0,0.0,Florida,Under 1 year,0.0,1534.0
1/1/20,4/24/21,By Total,0.0,0.0,Florida,0-17 years,13.0,2675.0
1/1/20,4/24/21,By Total,0.0,0.0,Florida,1-4 years,0.0,295.0
1/1/20,4/24/21,By Total,0.0,0.0,Florida,5-14 years,0.0,441.0
1/1/20,4/24/21,By Total,0.0,0.0,Florida,15-24 years,47.0,2892.0
1/1/20,4/24/21,By Total,0.0,0.0,Florida,18-29 years,112.0,5368.0
1/1/20,4/24/21,By Total,0.0,0.0,Florida,25-34 years,194.0,6556.0
1/1/20,4/24/21,By Total,0.0,0.0,Florida,30-39 years,300.0,8025.0
1/1/20,4/24/21,By Total,0.0,0.0,Florida,35-44 years,513.0,9381.0
1/1/20,4/24/21,By Total,0.0,0.0,Florida,40-49 years,872.0,11533.0
1/1/20,4/24/21,By Total,0.0,0.0,Florida,45-54 years,1344.0,16391.0
1/1/20,4/24/21,By Total,0.0,0.0,Florida,50-64 years,4533.0,49140.0
1/1/20,4/24/21,By Total,0.0,0.0,Florida,55-64 years,3724.0,39251.0
1/1/20,4/24/21,By Total,0.0,0.0,Florida,65-74 years,7155.0,62308.0
1/1/20,4/24/21,By Total,0.0,0.0,Florida,75-84 years,9828.0,81796.0
1/1/20,4/24/21,By Total,0.0,0.0,Florida,85 years and over,9550.0,98271.0
1/1/20,4/24/21,By Total,0.0,0.0,Georgia,Under 1 year,0.0,832.0
1/1/20,4/24/21,By Total,0.0,0.0,Georgia,0-17 years,11.0,1541.0
1/1/20,4/24/21,By Total,0.0,0.0,Georgia,1-4 years,0.0,183.0
1/1/20,4/24/21,By Total,0.0,0.0,Georgia,5-14 years,0.0,296.0
1/1/20,4/24/21,By Total,0.0,0.0,Georgia,15-24 years,32.0,1521.0
1/1/20,4/24/21,By Total,0.0,0.0,Georgia,18-29 years,71.0,2639.0
1/1/20,4/24/21,By Total,0.0,0.0,Georgia,25-34 years,134.0,3018.0
1/1/20,4/24/21,By Total,0.0,0.0,Georgia,30-39 years,214.0,3691.0
1/1/20,4/24/21,By Total,0.0,0.0,Georgia,35-44 years,341.0,4594.0
1/1/20,4/24/21,By Total,0.0,0.0,Georgia,40-49 years,568.0,6218.0
1/1/20,4/24/21,By Total,0.0,0.0,Georgia,45-54 years,947.0,9000.0
1/1/20,4/24/21,By Total,0.0,0.0,Georgia,50-64 years,3038.0,25571.0
1/1/20,4/24/21,By Total,0.0,0.0,Georgia,55-64 years,2440.0,20216.0
1/1/20,4/24/21,By Total,0.0,0.0,Georgia,65-74 years,4243.0,29755.0
1/1/20,4/24/21,By Total,0.0,0.0,Georgia,75-84 years,4887.0,33314.0
1/1/20,4/24/21,By Total,0.0,0.0,Georgia,85 years and over,3831.0,32136.0
1/1/20,4/24/21,By Total,0.0,0.0,Hawaii,Under 1 year,0.0,99.0
1/1/20,4/24/21,By Total,0.0,0.0,Hawaii,0-17 years,0.0,143.0
1/1/20,4/24/21,By Total,0.0,0.0,Hawaii,1-4 years,0.0,0.0
1/1/20,4/24/21,By Total,0.0,0.0,Hawaii,5-14 years,0.0,21.0
1/1/20,4/24/21,By Total,0.0,0.0,Hawaii,15-24 years,0.0,121.0
1/1/20,4/24/21,By Total,0.0,0.0,Hawaii,18-29 years,0.0,208.0
1/1/20,4/24/21,By Total,0.0,0.0,Hawaii,25-34 years,0.0,250.0
1/1/20,4/24/21,By Total,0.0,0.0,Hawaii,30-39 years,0.0,335.0
1/1/20,4/24/21,By Total,0.0,0.0,Hawaii,35-44 years,13.0,424.0
1/1/20,4/24/21,By Total,0.0,0.0,Hawaii,40-49 years,15.0,562.0
1/1/20,4/24/21,By Total,0.0,0.0,Hawaii,45-54 years,26.0,823.0
1/1/20,4/24/21,By Total,0.0,0.0,Hawaii,50-64 years,97.0,2367.0
1/1/20,4/24/21,By Total,0.0,0.0,Hawaii,55-64 years,77.0,1869.0
1/1/20,4/24/21,By Total,0.0,0.0,Hawaii,65-74 years,111.0,3042.0
1/1/20,4/24/21,By Total,0.0,0.0,Hawaii,75-84 years,94.0,3330.0
1/1/20,4/24/21,By Total,0.0,0.0,Hawaii,85 years and over,129.0,5613.0
1/1/20,4/24/21,By Total,0.0,0.0,Idaho,Under 1 year,0.0,115.0
1/1/20,4/24/21,By Total,0.0,0.0,Idaho,0-17 years,0.0,238.0
1/1/20,4/24/21,By Total,0.0,0.0,Idaho,1-4 years,0.0,25.0
1/1/20,4/24/21,By Total,0.0,0.0,Idaho,5-14 years,0.0,37.0
1/1/20,4/24/21,By Total,0.0,0.0,Idaho,15-24 years,0.0,249.0
1/1/20,4/24/21,By Total,0.0,0.0,Idaho,18-29 years,0.0,352.0
1/1/20,4/24/21,By Total,0.0,0.0,Idaho,25-34 years,0.0,387.0
1/1/20,4/24/21,By Total,0.0,0.0,Idaho,30-39 years,10.0,503.0
1/1/20,4/24/21,By Total,0.0,0.0,Idaho,35-44 years,20.0,578.0
1/1/20,4/24/21,By Total,0.0,0.0,Idaho,40-49 years,38.0,694.0
1/1/20,4/24/21,By Total,0.0,0.0,Idaho,45-54 years,64.0,964.0
1/1/20,4/24/21,By Total,0.0,0.0,Idaho,50-64 years,210.0,3055.0
1/1/20,4/24/21,By Total,0.0,0.0,Idaho,55-64 years,171.0,2487.0
1/1/20,4/24/21,By Total,0.0,0.0,Idaho,65-74 years,435.0,4259.0
1/1/20,4/24/21,By Total,0.0,0.0,Idaho,75-84 years,631.0,5635.0
1/1/20,4/24/21,By Total,0.0,0.0,Idaho,85 years and over,699.0,6442.0
1/1/20,4/24/21,By Total,0.0,0.0,Illinois,Under 1 year,0.0,866.0
1/1/20,4/24/21,By Total,0.0,0.0,Illinois,0-17 years,0.0,1501.0
1/1/20,4/24/21,By Total,0.0,0.0,Illinois,1-4 years,0.0,145.0
1/1/20,4/24/21,By Total,0.0,0.0,Illinois,5-14 years,0.0,248.0
1/1/20,4/24/21,By Total,0.0,0.0,Illinois,15-24 years,33.0,1670.0
1/1/20,4/24/21,By Total,0.0,0.0,Illinois,18-29 years,81.0,2993.0
1/1/20,4/24/21,By Total,0.0,0.0,Illinois,25-34 years,148.0,3250.0
1/1/20,4/24/21,By Total,0.0,0.0,Illinois,30-39 years,240.0,3800.0
1/1/20,4/24/21,By Total,0.0,0.0,Illinois,35-44 years,360.0,4634.0
1/1/20,4/24/21,By Total,0.0,0.0,Illinois,40-49 years,596.0,6072.0
1/1/20,4/24/21,By Total,0.0,0.0,Illinois,45-54 years,977.0,8898.0
1/1/20,4/24/21,By Total,0.0,0.0,Illinois,50-64 years,2901.0,26364.0
1/1/20,4/24/21,By Total,0.0,0.0,Illinois,55-64 years,2302.0,21019.0
1/1/20,4/24/21,By Total,0.0,0.0,Illinois,65-74 years,4441.0,32358.0
1/1/20,4/24/21,By Total,0.0,0.0,Illinois,75-84 years,5591.0,39317.0
1/1/20,4/24/21,By Total,0.0,0.0,Illinois,85 years and over,7092.0,52131.0
1/1/20,4/24/21,By Total,0.0,0.0,Indiana,Under 1 year,0.0,571.0
1/1/20,4/24/21,By Total,0.0,0.0,Indiana,0-17 years,0.0,981.0
1/1/20,4/24/21,By Total,0.0,0.0,Indiana,1-4 years,0.0,97.0
1/1/20,4/24/21,By Total,0.0,0.0,Indiana,5-14 years,0.0,167.0
1/1/20,4/24/21,By Total,0.0,0.0,Indiana,15-24 years,10.0,1071.0
1/1/20,4/24/21,By Total,0.0,0.0,Indiana,18-29 years,20.0,1865.0
1/1/20,4/24/21,By Total,0.0,0.0,Indiana,25-34 years,36.0,2117.0
1/1/20,4/24/21,By Total,0.0,0.0,Indiana,30-39 years,70.0,2446.0
1/1/20,4/24/21,By Total,0.0,0.0,Indiana,35-44 years,128.0,2806.0
1/1/20,4/24/21,By Total,0.0,0.0,Indiana,40-49 years,215.0,3661.0
1/1/20,4/24/21,By Total,0.0,0.0,Indiana,45-54 years,361.0,5303.0
1/1/20,4/24/21,By Total,0.0,0.0,Indiana,50-64 years,1463.0,16061.0
1/1/20,4/24/21,By Total,0.0,0.0,Indiana,55-64 years,1235.0,12882.0
1/1/20,4/24/21,By Total,0.0,0.0,Indiana,65-74 years,2565.0,20134.0
1/1/20,4/24/21,By Total,0.0,0.0,Indiana,75-84 years,3759.0,24414.0
1/1/20,4/24/21,By Total,0.0,0.0,Indiana,85 years and over,4507.0,28543.0
1/1/20,4/24/21,By Total,0.0,0.0,Iowa,Under 1 year,0.0,175.0
1/1/20,4/24/21,By Total,0.0,0.0,Iowa,0-17 years,0.0,346.0
1/1/20,4/24/21,By Total,0.0,0.0,Iowa,1-4 years,0.0,41.0
1/1/20,4/24/21,By Total,0.0,0.0,Iowa,5-14 years,0.0,67.0
1/1/20,4/24/21,By Total,0.0,0.0,Iowa,15-24 years,0.0,342.0
1/1/20,4/24/21,By Total,0.0,0.0,Iowa,18-29 years,13.0,549.0
1/1/20,4/24/21,By Total,0.0,0.0,Iowa,25-34 years,21.0,611.0
1/1/20,4/24/21,By Total,0.0,0.0,Iowa,30-39 years,37.0,767.0
1/1/20,4/24/21,By Total,0.0,0.0,Iowa,35-44 years,49.0,942.0
1/1/20,4/24/21,By Total,0.0,0.0,Iowa,40-49 years,77.0,1258.0
1/1/20,4/24/21,By Total,0.0,0.0,Iowa,45-54 years,161.0,1959.0
1/1/20,4/24/21,By Total,0.0,0.0,Iowa,50-64 years,602.0,6165.0
1/1/20,4/24/21,By Total,0.0,0.0,Iowa,55-64 years,495.0,4948.0
1/1/20,4/24/21,By Total,0.0,0.0,Iowa,65-74 years,1008.0,8380.0
1/1/20,4/24/21,By Total,0.0,0.0,Iowa,75-84 years,1676.0,11053.0
1/1/20,4/24/21,By Total,0.0,0.0,Iowa,85 years and over,2522.0,16228.0
1/1/20,4/24/21,By Total,0.0,0.0,Kansas,Under 1 year,0.0,235.0
1/1/20,4/24/21,By Total,0.0,0.0,Kansas,0-17 years,0.0,397.0
1/1/20,4/24/21,By Total,0.0,0.0,Kansas,1-4 years,0.0,29.0
1/1/20,4/24/21,By Total,0.0,0.0,Kansas,5-14 years,0.0,67.0
1/1/20,4/24/21,By Total,0.0,0.0,Kansas,15-24 years,10.0,458.0
1/1/20,4/24/21,By Total,0.0,0.0,Kansas,18-29 years,20.0,722.0
1/1/20,4/24/21,By Total,0.0,0.0,Kansas,25-34 years,23.0,737.0
1/1/20,4/24/21,By Total,0.0,0.0,Kansas,30-39 years,35.0,886.0
1/1/20,4/24/21,By Total,0.0,0.0,Kansas,35-44 years,59.0,1113.0
1/1/20,4/24/21,By Total,0.0,0.0,Kansas,40-49 years,107.0,1408.0
1/1/20,4/24/21,By Total,0.0,0.0,Kansas,45-54 years,179.0,1956.0
1/1/20,4/24/21,By Total,0.0,0.0,Kansas,50-64 years,575.0,6144.0
1/1/20,4/24/21,By Total,0.0,0.0,Kansas,55-64 years,466.0,4962.0
1/1/20,4/24/21,By Total,0.0,0.0,Kansas,65-74 years,928.0,7872.0
1/1/20,4/24/21,By Total,0.0,0.0,Kansas,75-84 years,1374.0,9666.0
1/1/20,4/24/21,By Total,0.0,0.0,Kansas,85 years and over,1791.0,13130.0
1/1/20,4/24/21,By Total,0.0,0.0,Kentucky,Under 1 year,0.0,345.0
1/1/20,4/24/21,By Total,0.0,0.0,Kentucky,0-17 years,0.0,607.0
1/1/20,4/24/21,By Total,0.0,0.0,Kentucky,1-4 years,0.0,48.0
1/1/20,4/24/21,By Total,0.0,0.0,Kentucky,5-14 years,0.0,107.0
1/1/20,4/24/21,By Total,0.0,0.0,Kentucky,15-24 years,0.0,771.0
1/1/20,4/24/21,By Total,0.0,0.0,Kentucky,18-29 years,0.0,1354.0
1/1/20,4/24/21,By Total,0.0,0.0,Kentucky,25-34 years,18.0,1594.0
1/1/20,4/24/21,By Total,0.0,0.0,Kentucky,30-39 years,38.0,2150.0
1/1/20,4/24/21,By Total,0.0,0.0,Kentucky,35-44 years,73.0,2697.0
1/1/20,4/24/21,By Total,0.0,0.0,Kentucky,40-49 years,120.0,3337.0
1/1/20,4/24/21,By Total,0.0,0.0,Kentucky,45-54 years,232.0,4727.0
1/1/20,4/24/21,By Total,0.0,0.0,Kentucky,50-64 years,938.0,13509.0
1/1/20,4/24/21,By Total,0.0,0.0,Kentucky,55-64 years,776.0,10668.0
1/1/20,4/24/21,By Total,0.0,0.0,Kentucky,65-74 years,1648.0,15584.0
1/1/20,4/24/21,By Total,0.0,0.0,Kentucky,75-84 years,2106.0,17476.0
1/1/20,4/24/21,By Total,0.0,0.0,Kentucky,85 years and over,2215.0,17079.0
1/1/20,4/24/21,By Total,0.0,0.0,Louisiana,Under 1 year,0.0,485.0
1/1/20,4/24/21,By Total,0.0,0.0,Louisiana,0-17 years,0.0,858.0
1/1/20,4/24/21,By Total,0.0,0.0,Louisiana,1-4 years,0.0,89.0
1/1/20,4/24/21,By Total,0.0,0.0,Louisiana,5-14 years,0.0,146.0
1/1/20,4/24/21,By Total,0.0,0.0,Louisiana,15-24 years,18.0,926.0
1/1/20,4/24/21,By Total,0.0,0.0,Louisiana,18-29 years,35.0,1621.0
1/1/20,4/24/21,By Total,0.0,0.0,Louisiana,25-34 years,66.0,1884.0
1/1/20,4/24/21,By Total,0.0,0.0,Louisiana,30-39 years,117.0,2346.0
1/1/20,4/24/21,By Total,0.0,0.0,Louisiana,35-44 years,175.0,2739.0
1/1/20,4/24/21,By Total,0.0,0.0,Louisiana,40-49 years,286.0,3309.0
1/1/20,4/24/21,By Total,0.0,0.0,Louisiana,45-54 years,481.0,4571.0
1/1/20,4/24/21,By Total,0.0,0.0,Louisiana,50-64 years,1613.0,13504.0
1/1/20,4/24/21,By Total,0.0,0.0,Louisiana,55-64 years,1313.0,10798.0
1/1/20,4/24/21,By Total,0.0,0.0,Louisiana,65-74 years,2356.0,15813.0
1/1/20,4/24/21,By Total,0.0,0.0,Louisiana,75-84 years,2699.0,17244.0
1/1/20,4/24/21,By Total,0.0,0.0,Louisiana,85 years and over,2166.0,17139.0
1/1/20,4/24/21,By Total,0.0,0.0,Maine,Under 1 year,0.0,85.0
1/1/20,4/24/21,By Total,0.0,0.0,Maine,0-17 years,0.0,138.0
1/1/20,4/24/21,By Total,0.0,0.0,Maine,1-4 years,0.0,12.0
1/1/20,4/24/21,By Total,0.0,0.0,Maine,5-14 years,0.0,17.0
1/1/20,4/24/21,By Total,0.0,0.0,Maine,15-24 years,0.0,128.0
1/1/20,4/24/21,By Total,0.0,0.0,Maine,18-29 years,0.0,253.0
1/1/20,4/24/21,By Total,0.0,0.0,Maine,25-34 years,0.0,349.0
1/1/20,4/24/21,By Total,0.0,0.0,Maine,30-39 years,0.0,445.0
1/1/20,4/24/21,By Total,0.0,0.0,Maine,35-44 years,0.0,538.0
1/1/20,4/24/21,By Total,0.0,0.0,Maine,40-49 years,16.0,681.0
1/1/20,4/24/21,By Total,0.0,0.0,Maine,45-54 years,20.0,981.0
1/1/20,4/24/21,By Total,0.0,0.0,Maine,50-64 years,70.0,3038.0
1/1/20,4/24/21,By Total,0.0,0.0,Maine,55-64 years,59.0,2445.0
1/1/20,4/24/21,By Total,0.0,0.0,Maine,65-74 years,137.0,3987.0
1/1/20,4/24/21,By Total,0.0,0.0,Maine,75-84 years,284.0,5192.0
1/1/20,4/24/21,By Total,0.0,0.0,Maine,85 years and over,361.0,6663.0
1/1/20,4/24/21,By Total,0.0,0.0,Maryland,Under 1 year,0.0,441.0
1/1/20,4/24/21,By Total,0.0,0.0,Maryland,0-17 years,0.0,669.0
1/1/20,4/24/21,By Total,0.0,0.0,Maryland,1-4 years,0.0,49.0
1/1/20,4/24/21,By Total,0.0,0.0,Maryland,5-14 years,0.0,91.0
1/1/20,4/24/21,By Total,0.0,0.0,Maryland,15-24 years,22.0,816.0
1/1/20,4/24/21,By Total,0.0,0.0,Maryland,18-29 years,44.0,1576.0
1/1/20,4/24/21,By Total,0.0,0.0,Maryland,25-34 years,64.0,1964.0
1/1/20,4/24/21,By Total,0.0,0.0,Maryland,30-39 years,104.0,2380.0
1/1/20,4/24/21,By Total,0.0,0.0,Maryland,35-44 years,169.0,2646.0
1/1/20,4/24/21,By Total,0.0,0.0,Maryland,40-49 years,269.0,3106.0
1/1/20,4/24/21,By Total,0.0,0.0,Maryland,45-54 years,484.0,4487.0
1/1/20,4/24/21,By Total,0.0,0.0,Maryland,50-64 years,1489.0,13087.0
